sku,name,slug,type,status,regular_price,sale_price,department,category_l1,category_l2,description,short_description,materials,finishes,dimensions,lead_time,minimum_order_qty,cad_drawing_url,image_urls,catalog_only_mode
THAR-6078,Thar Buffet Lower (6078),thar-buffet-lower-6078,simple,publish,,,Furniture,Cabinets,Sideboards,"Long three-door buffet in solid acacia. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 175cm W x 45cm D x 70cm H.",Long three-door buffet in solid acacia.,Acacia,Lime Cream,175cm W x 45cm D x 70cm H,,1,,"thar-buffet-lower-6078_1.webp,thar-buffet-lower-6078_2.webp",1
THAR-6079,Thar Buffet Lower (6079),thar-buffet-lower-6079,simple,publish,,,Furniture,Cabinets,Sideboards,"Two-door buffet in solid acacia. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 120cm W x 45cm D x 70cm H.",Two-door buffet in solid acacia.,Acacia,Lime Cream,120cm W x 45cm D x 70cm H,,1,,"thar-buffet-lower-6079_1.webp,thar-buffet-lower-6079_2.webp",1
THAR-6070,Thar High Board,thar-high-board,simple,publish,,,Furniture,Cabinets,Sideboards,"High board with doors, drawers and open centre wine cubbies. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 170cm W x 45cm D x 140cm H.","High board with doors, drawers and open centre wine cubbies.",Acacia,Lime Cream,170cm W x 45cm D x 140cm H,,1,,"thar-high-board_1.webp,thar-high-board_2.webp",1
BALA-6015,Bala TV Console,bala-tv-console,simple,publish,,,Furniture,Cabinets,TV Units,"TV console with centre drawer and open shelf between doors. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 170cm W x 50cm D x 52cm H.",TV console with centre drawer and open shelf between doors.,Acacia,Desert,170cm W x 50cm D x 52cm H,,1,,bala-tv-console_1.webp,1
LABH-6145,Labh TV Dresser,labh-tv-dresser,simple,publish,,,Furniture,Cabinets,TV Units,"Low TV dresser with open shelving and one door, dark mango. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 170cm W x 45cm D x 47cm H.","Low TV dresser with open shelving and one door, dark mango.",Mango,Max Dark,170cm W x 45cm D x 47cm H,,1,,labh-tv-dresser_1.webp,1
PAWAN-1019,Pawan Plasma (1019),pawan-plasma-1019,simple,publish,,,Furniture,Cabinets,TV Units,"Low TV unit with two drawers, open shelf and door, in figured solid wood with a curved metal band. Crafted in Solid Wood, Iron, Natural Wood with Black Iron finish. From the Pawan collection. Dimensions: 137cm W x 42cm D x 40cm H.","Low TV unit with two drawers, open shelf and door, in figured solid wood with a curved metal band.","Solid Wood, Iron",Natural Wood with Black Iron,137cm W x 42cm D x 40cm H,,1,,"pawan-plasma-1019_1.webp,pawan-plasma-1019_2.webp,pawan-plasma-1019_3.webp,pawan-plasma-1019_4.webp",1
PAWAN-4001,Pawan TV Dresser (4001),pawan-tv-dresser-4001,simple,publish,,,Furniture,Cabinets,TV Units,"Long TV dresser with two centre drawers and side doors, brass hardware. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 200cm W x 54cm D x 65cm H.","Long TV dresser with two centre drawers and side doors, brass hardware.",Mango,Colonial,200cm W x 54cm D x 65cm H,,1,,"pawan-tv-dresser-4001_1.webp,pawan-tv-dresser-4001_2.webp,pawan-tv-dresser-4001_3.webp",1
PAWAN-4003,Pawan TV Dresser (4003),pawan-tv-dresser-4003,simple,publish,,,Furniture,Cabinets,TV Units,"TV dresser with glazed door, open niche and drawers. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 120cm W x 49cm D x 77cm H.","TV dresser with glazed door, open niche and drawers.",Mango,Colonial,120cm W x 49cm D x 77cm H,,1,,"pawan-tv-dresser-4003_1.webp,pawan-tv-dresser-4003_2.webp",1
PAWAN-1004,Pawan TV Unit (1004),pawan-tv-unit-1004,simple,publish,,,Furniture,Cabinets,TV Units,"Angled-side TV unit with open shelf, drawer and dimple-carved top on steel feet. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection.","Angled-side TV unit with open shelf, drawer and dimple-carved top on steel feet.","Solid Wood, Brushed Steel",Dark Walnut Brown,,,1,,"pawan-tv-unit-1004_1.webp,pawan-tv-unit-1004_2.webp,pawan-tv-unit-1004_3.webp,pawan-tv-unit-1004_4.webp",1
PLUTO-6108,Pluto TV Console (6108),pluto-tv-console-6108,simple,publish,,,Furniture,Cabinets,TV Units,"Low TV console with drawers and open centre. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 150cm W x 50cm D x 30cm H.",Low TV console with drawers and open centre.,Acacia,Max,150cm W x 50cm D x 30cm H,,1,,pluto-tv-console-6108_1.webp,1
PLUTO-6125,Pluto TV Console (6125),pluto-tv-console-6125,simple,publish,,,Furniture,Cabinets,TV Units,"TV console with two doors and open centre niche. Crafted in Acacia, Max finish. From the Pluto collection. Dimensions: 120cm W x 45cm D x 60cm H.",TV console with two doors and open centre niche.,Acacia,Max,120cm W x 45cm D x 60cm H,,1,,pluto-tv-console-6125_1.webp,1
REED-X7312220,Reed TV Unit,reed-tv-unit,simple,publish,,,Furniture,Cabinets,TV Units,"Reeded media unit with two doors, central open shelving with cable cut-out, marble top and black metal legs. Crafted in Solid Mango Wood, White Marble Top, Metal, Whitewashed Reeded Mango finish. From the Reed collection. Dimensions: 135cm W x 45.7cm D x 55cm H.","Reeded media unit with two doors, central open shelving with cable cut-out, marble top and black metal legs.","Solid Mango Wood, White Marble Top, Metal",Whitewashed Reeded Mango,135cm W x 45.7cm D x 55cm H,,1,,"reed-tv-unit_1.webp,reed-tv-unit_2.webp,reed-tv-unit_3.webp,reed-tv-unit_4.webp,reed-tv-unit_5.webp,reed-tv-unit_6.webp,reed-tv-unit_7.webp,reed-tv-unit_8.webp,reed-tv-unit_9.webp,reed-tv-unit_10.webp",1
SHORA-4287,Shora TV Console,shora-tv-console,simple,publish,,,Furniture,Cabinets,TV Units,"Long TV console with open shelves and two drawers. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 160cm W x 45.7cm H.",Long TV console with open shelves and two drawers.,Acacia,Lime finish,160cm W x 45.7cm H,,1,,"shora-tv-console_1.webp,shora-tv-console_2.webp",1
TEAK-TK-03,Teak TV Plasma,teak-tv-plasma,simple,publish,,,Furniture,Cabinets,TV Units,"Low TV unit with two drawers and open centre shelf in patchwork teak on a black iron base. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 150cm W x 50cm D x 50cm H.",Low TV unit with two drawers and open centre shelf in patchwork teak on a black iron base.,"Iron, Teak Wood, MDF",Natural Lacquered,150cm W x 50cm D x 50cm H,,1,,"teak-tv-plasma_1.webp,teak-tv-plasma_2.webp,teak-tv-plasma_3.webp",1
THAR-6068,Thar TV Dresser (6068),thar-tv-dresser-6068,simple,publish,,,Furniture,Cabinets,TV Units,"TV dresser with door, drawers and open shelf. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 156cm W x 50cm D x 55cm H.","TV dresser with door, drawers and open shelf.",Acacia,Lime Cream,156cm W x 50cm D x 55cm H,,1,,thar-tv-dresser-6068_1.webp,1
THAR-6069,Thar TV Dresser (6069),thar-tv-dresser-6069,simple,publish,,,Furniture,Cabinets,TV Units,"TV dresser with two drawers under an open shelf. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 126cm W x 50cm D x 55cm H.",TV dresser with two drawers under an open shelf.,Acacia,Lime Cream,126cm W x 50cm D x 55cm H,,1,,"thar-tv-dresser-6069_1.webp,thar-tv-dresser-6069_2.webp",1
THAR-6080,Thar Chest 4 Drawers + 4 Doors,thar-chest-4-drawers-4-doors,simple,publish,,,Furniture,Cabinets,Wardrobes,"Tall cabinet with two upper doors, four ribbed drawers and two lower doors in solid acacia. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 120cm W x 48cm D x 200cm H.","Tall cabinet with two upper doors, four ribbed drawers and two lower doors in solid acacia.",Acacia,Lime Cream,120cm W x 48cm D x 200cm H,,1,,"thar-chest-4-drawers-4-doors_1.webp,thar-chest-4-drawers-4-doors_2.webp,thar-chest-4-drawers-4-doors_3.webp,thar-chest-4-drawers-4-doors_4.webp,thar-chest-4-drawers-4-doors_5.webp,thar-chest-4-drawers-4-doors_6.webp,thar-chest-4-drawers-4-doors_7.webp,thar-chest-4-drawers-4-doors_8.webp,thar-chest-4-drawers-4-doors_9.webp",1
BALA-6021,Bala Chair,bala-chair,simple,draft,,,Furniture,Seating,Dining Chairs,"Solid acacia dining chair. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 45cm W x 46cm D x 105cm H.",Solid acacia dining chair.,Acacia,Desert,45cm W x 46cm D x 105cm H,,2,,,1
BALA-6026,Bala Chair Strip,bala-chair-strip,simple,publish,,,Furniture,Seating,Dining Chairs,"Dining chair with vertical-strip slatted back and solid seat. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 45cm W x 46cm D x 103cm H.",Dining chair with vertical-strip slatted back and solid seat.,Acacia,Desert,45cm W x 46cm D x 103cm H,,2,,bala-chair-strip_1.webp,1
LABH-6137,Labh Chair,labh-chair,simple,publish,,,Furniture,Seating,Dining Chairs,"High slatted-back dining chair in dark mango. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 47cm W x 47cm D x 105cm H.",High slatted-back dining chair in dark mango.,Mango,Max Dark,47cm W x 47cm D x 105cm H,,2,,labh-chair_1.webp,1
CHAIR-NC-X,Metal Frame Bar Chair,metal-frame-bar-chair,simple,draft,,,Furniture,Seating,Dining Chairs,"Champagne metal-frame high chair with solid wood seat and back. Crafted in Solid Wood, Metal. From the Pawan Stools collection.",Champagne metal-frame high chair with solid wood seat and back.,"Solid Wood, Metal",,,,1,,metal-frame-bar-chair_1.webp,1
PAWAN-4007,Pawan Chair,pawan-chair,simple,publish,,,Furniture,Seating,Dining Chairs,"High slatted-back dining chair with solid seat. Crafted in Mango, Colonial finish. From the Pawan collection. Dimensions: 47cm W x 47cm D x 105cm H.",High slatted-back dining chair with solid seat.,Mango,Colonial,47cm W x 47cm D x 105cm H,,2,,"pawan-chair_1.webp,pawan-chair_2.webp,pawan-chair_3.webp",1
PAWAN-1006,Pawan Chair (1006),pawan-chair-1006,simple,publish,,,Furniture,Seating,Dining Chairs,"Solid wood dining chair with slatted back and dimple-carved centre splat, wooden seat. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection. Dimensions: 45cm W x 45cm D x 90cm H.","Solid wood dining chair with slatted back and dimple-carved centre splat, wooden seat.","Solid Wood, Brushed Steel",Dark Walnut Brown,45cm W x 45cm D x 90cm H,,1,,"pawan-chair-1006_1.webp,pawan-chair-1006_2.webp,pawan-chair-1006_3.webp,pawan-chair-1006_4.webp",1
PAWAN-1006A,Pawan Chair Upholstered Seat (1006A),pawan-chair-upholstered-seat-1006a,simple,publish,,,Furniture,Seating,Dining Chairs,"Same slatted dimple-back chair with a padded upholstered seat. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection. Dimensions: 45cm W x 45cm D x 90cm H.",Same slatted dimple-back chair with a padded upholstered seat.,"Solid Wood, Brushed Steel",Dark Walnut Brown,45cm W x 45cm D x 90cm H,,1,,pawan-chair-upholstered-seat-1006a_1.webp,1
SHORA-4289,Shora Chair (4289),shora-chair-4289,simple,publish,,,Furniture,Seating,Dining Chairs,"A-frame splayed-back dining chair with upholstered seat. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 45.7cm W x 43.2cm D x 96.5cm H.",A-frame splayed-back dining chair with upholstered seat.,Acacia,Lime finish,45.7cm W x 43.2cm D x 96.5cm H,,2,,shora-chair-4289_1.webp,1
SHORA-4291,Shora Chair (4291),shora-chair-4291,simple,publish,,,Furniture,Seating,Dining Chairs,"A-frame splayed-back dining chair with solid wood seat. Crafted in Acacia, Lime finish finish. From the Shora collection. Dimensions: 45.7cm W x 43.2cm D x 96.5cm H.",A-frame splayed-back dining chair with solid wood seat.,Acacia,Lime finish,45.7cm W x 43.2cm D x 96.5cm H,,2,,"shora-chair-4291_1.webp,shora-chair-4291_2.webp,shora-chair-4291_3.webp,shora-chair-4291_4.webp",1
TEAK-TK-09,Teak Chair,teak-chair,simple,publish,,,Furniture,Seating,Dining Chairs,"Black iron-frame dining chair with patchwork teak seat and back panel. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 45cm W x 46cm D x 85cm H.",Black iron-frame dining chair with patchwork teak seat and back panel.,"Iron, Teak Wood, MDF",Natural Lacquered,45cm W x 46cm D x 85cm H,,1,,teak-chair_1.webp,1
STOOL-2071,Pawan Bar Stool (2071),pawan-bar-stool-2071,simple,draft,,,Furniture,Stools & Benches,Bar Stools,"Pedestal bar stool with flower-shaped solid wood seat, champagne metal column, dome base and footrest. Crafted in Solid Wood, Metal. From the Pawan Stools collection.","Pedestal bar stool with flower-shaped solid wood seat, champagne metal column, dome base and footrest.","Solid Wood, Metal",,,,1,,"pawan-bar-stool-2071_1.webp,pawan-bar-stool-2071_2.webp",1
STOOL-2031,Pawan Stool (2031),pawan-stool-2031,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Round wood seat on a reeded wooden column with black iron tripod base, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Round wood seat on a reeded wooden column with black iron tripod base, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2031_1.webp,1
STOOL-2032,Pawan Stool (2032),pawan-stool-2032,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Swivel stool with distressed grey wood seat on a silver looped metal frame with footrest, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Swivel stool with distressed grey wood seat on a silver looped metal frame with footrest, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2032_1.webp,1
STOOL-2033,Pawan Stool (2033),pawan-stool-2033,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Square solid wood seat on a grey metal four-leg frame with stretchers. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 38.1cm W x 30.5cm D x 61cm H.",Square solid wood seat on a grey metal four-leg frame with stretchers.,"Iron, Solid Wood",,38.1cm W x 30.5cm D x 61cm H,,1,,pawan-stool-2033_1.webp,1
STOOL-2034,Pawan Stool (2034),pawan-stool-2034,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Metal-topped screw-adjustable seat on curved solid wood legs with black-dipped feet. Crafted in Solid Wood, Iron. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Metal-topped screw-adjustable seat on curved solid wood legs with black-dipped feet.,"Solid Wood, Iron",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2034_1.webp,1
STOOL-2035,Pawan Stool (2035),pawan-stool-2035,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Dark wood swivel seat on a black iron tripod base with footring, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Dark wood swivel seat on a black iron tripod base with footring, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2035_1.webp,1
STOOL-2036,Pawan Stool (2036),pawan-stool-2036,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Striped wood seat on a chrome screw column with looped hairpin base and footring. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Striped wood seat on a chrome screw column with looped hairpin base and footring.,"Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2036_1.webp,1
STOOL-2037,Pawan Stool (2037),pawan-stool-2037,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Dark wood seat on a silver metal frame with crossed loop legs and footring. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Dark wood seat on a silver metal frame with crossed loop legs and footring.,"Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2037_1.webp,1
STOOL-2038,Pawan Stool (2038),pawan-stool-2038,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Dark wood seat on a champagne metal four-leg frame with ring footrest. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 69cm H.",Dark wood seat on a champagne metal four-leg frame with ring footrest.,"Iron, Solid Wood",,33cm W x 33cm D x 69cm H,,1,,pawan-stool-2038_1.webp,1
STOOL-2039,Pawan Stool (2039),pawan-stool-2039,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Grey-washed wood seat on a black iron tripod with footring. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 69cm H.",Grey-washed wood seat on a black iron tripod with footring.,"Iron, Solid Wood",,33cm W x 33cm D x 69cm H,,1,,pawan-stool-2039_1.webp,1
STOOL-2040,Pawan Stool (2040),pawan-stool-2040,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Wood seat on a brass-finish hairpin-loop frame. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61cm H.",Wood seat on a brass-finish hairpin-loop frame.,"Iron, Solid Wood",,33cm W x 33cm D x 61cm H,,1,,pawan-stool-2040_1.webp,1
STOOL-2041,Pawan Stool (2041),pawan-stool-2041,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Industrial adjustable stool: dark wood seat on a grey metal frame with square footrest. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Industrial adjustable stool: dark wood seat on a grey metal frame with square footrest.,"Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2041_1.webp,1
STOOL-2042,Pawan Stool (2042),pawan-stool-2042,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Industrial adjustable stool with dark wood seat and grey metal curved-leg base with footring. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Industrial adjustable stool with dark wood seat and grey metal curved-leg base with footring.,"Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2042_1.webp,1
STOOL-2043,Pawan Stool (2043),pawan-stool-2043,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Wood swivel seat on a black angular crossed-leg iron frame, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Wood swivel seat on a black angular crossed-leg iron frame, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2043_1.webp,1
STOOL-2044,Pawan Stool (2044),pawan-stool-2044,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Recycled multicolour wood seat on a black iron four-leg base with square footrest. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 74cm H.",Recycled multicolour wood seat on a black iron four-leg base with square footrest.,"Iron, Solid Wood",,33cm W x 33cm D x 74cm H,,1,,pawan-stool-2044_1.webp,1
STOOL-2045,Pawan Stool (2045),pawan-stool-2045,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Dark wood seat on gold-finish metal A-frame legs. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61cm H.",Dark wood seat on gold-finish metal A-frame legs.,"Iron, Solid Wood",,33cm W x 33cm D x 61cm H,,1,,pawan-stool-2045_1.webp,1
STOOL-2047,Pawan Stool (2047),pawan-stool-2047,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Black iron four-leg stool with ring footrest and metal-rimmed seat. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 76cm H.",Black iron four-leg stool with ring footrest and metal-rimmed seat.,"Iron, Solid Wood",,33cm W x 33cm D x 76cm H,,1,,pawan-stool-2047_1.webp,1
STOOL-2049,Pawan Stool (2049),pawan-stool-2049,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Black seat on a champagne wire-frame base, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Black seat on a champagne wire-frame base, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2049_1.webp,1
STOOL-2051,Pawan Stool (2051),pawan-stool-2051,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Grey metal four-leg bar stool with square black seat and stretchers. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 76cm H.",Grey metal four-leg bar stool with square black seat and stretchers.,"Iron, Solid Wood",,33cm W x 33cm D x 76cm H,,1,,pawan-stool-2051_1.webp,1
STOOL-2052,Pawan Stool (2052),pawan-stool-2052,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Wood swivel seat on black bent-iron legs with wooden feet, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).","Wood swivel seat on black bent-iron legs with wooden feet, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2052_1.webp,1
STOOL-2053,Pawan Stool (2053),pawan-stool-2053,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Wood seat on splayed wooden legs with black iron screw column and footring. Crafted in Solid Wood, Iron. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Wood seat on splayed wooden legs with black iron screw column and footring.,"Solid Wood, Iron",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2053_1.webp,1
STOOL-2058,Pawan Stool (2058),pawan-stool-2058,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Dark wood seat on splayed wooden legs with black screw column and ring footrest. Crafted in Solid Wood, Iron. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61-76cm H (height adjustable).",Dark wood seat on splayed wooden legs with black screw column and ring footrest.,"Solid Wood, Iron",,33cm W x 33cm D x 61-76cm H (height adjustable),,1,,pawan-stool-2058_1.webp,1
STOOL-2066,Pawan Stool (2066),pawan-stool-2066,simple,publish,,,Furniture,Stools & Benches,Bar Stools,"Rustic three-leg stool with dark wood seat and distressed painted legs. Crafted in Solid Wood, Iron. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 61cm H.",Rustic three-leg stool with dark wood seat and distressed painted legs.,"Solid Wood, Iron",,33cm W x 33cm D x 61cm H,,1,,pawan-stool-2066_1.webp,1
BALA-6019,Bala Bench,bala-bench,simple,publish,,,Furniture,Stools & Benches,Benches,"Solid acacia dining bench with block legs. Crafted in Acacia, Desert finish. From the Bala collection. Dimensions: 170cm W x 38cm D x 45cm H.",Solid acacia dining bench with block legs.,Acacia,Desert,170cm W x 38cm D x 45cm H,,1,,bala-bench_1.webp,1
LABH-6136,Labh Bench,labh-bench,simple,publish,,,Furniture,Stools & Benches,Benches,"Solid mango dining bench with chunky L-shaped legs. Crafted in Mango, Max Dark finish. From the Labh collection. Dimensions: 154cm W x 40cm D x 45cm H.",Solid mango dining bench with chunky L-shaped legs.,Mango,Max Dark,154cm W x 40cm D x 45cm H,,1,,labh-bench_1.webp,1
PAWAN-1010,Pawan Bench (1010),pawan-bench-1010,simple,publish,,,Furniture,Stools & Benches,Benches,"Dining bench matching the 1001 table: dimple-carved top on steel L-legs. Crafted in Solid Wood, Brushed Steel, Dark Walnut Brown finish. From the Pawan collection. Dimensions: 155cm W x 40cm D x 45cm H.",Dining bench matching the 1001 table: dimple-carved top on steel L-legs.,"Solid Wood, Brushed Steel",Dark Walnut Brown,155cm W x 40cm D x 45cm H,,1,,"pawan-bench-1010_1.webp,pawan-bench-1010_2.webp,pawan-bench-1010_3.webp",1
PAWAN-1015,Pawan Bench (1015),pawan-bench-1015,simple,publish,,,Furniture,Stools & Benches,Benches,"Iron-framed bench with inset wood top on V-shaped iron legs. Crafted in Solid Wood, Iron, Natural Wood with Black Iron finish. From the Pawan collection.",Iron-framed bench with inset wood top on V-shaped iron legs.,"Solid Wood, Iron",Natural Wood with Black Iron,,,1,,"pawan-bench-1015_1.webp,pawan-bench-1015_2.webp,pawan-bench-1015_3.webp",1
TEAK-TK-08,Teak Bench,teak-bench,simple,publish,,,Furniture,Stools & Benches,Benches,"Matching patchwork teak bench with iron-edged top and slab legs. Crafted in Iron, Teak Wood, MDF, Natural Lacquered finish. From the Teak collection. Dimensions: 180cm W x 45cm D x 45cm H.",Matching patchwork teak bench with iron-edged top and slab legs.,"Iron, Teak Wood, MDF",Natural Lacquered,180cm W x 45cm D x 45cm H,,1,,teak-bench_1.webp,1
THAR-6082,Thar Bench,thar-bench,simple,publish,,,Furniture,Stools & Benches,Benches,"Long solid acacia dining bench. Crafted in Acacia, Lime Cream finish. From the Thar collection. Dimensions: 190cm W x 38cm D x 46cm H.",Long solid acacia dining bench.,Acacia,Lime Cream,190cm W x 38cm D x 46cm H,,1,,thar-bench_1.webp,1
STOOL-NC-6629,Framed Log Stool,framed-log-stool,simple,draft,,,Furniture,Stools & Benches,Stools,"Solid log block held in a black iron U-frame. Crafted in Solid Wood, Metal. From the Pawan Stools collection.",Solid log block held in a black iron U-frame.,"Solid Wood, Metal",,,,1,,framed-log-stool_1.webp,1
STOOL-NC-6613,Hourglass Wooden Stool,hourglass-wooden-stool,simple,draft,,,Furniture,Stools & Benches,Stools,"Hourglass-carved solid wood stool with dark metal band top. Crafted in Solid Wood, Metal. From the Pawan Stools collection.",Hourglass-carved solid wood stool with dark metal band top.,"Solid Wood, Metal",,,,1,,hourglass-wooden-stool_1.webp,1
STOOL-NC-6611,Live Edge Three-Leg Stool,live-edge-three-leg-stool,simple,draft,,,Furniture,Stools & Benches,Stools,"Natural live-edge wood slab seat on three tapered wooden legs. Crafted in Solid Wood, Metal. From the Pawan Stools collection.",Natural live-edge wood slab seat on three tapered wooden legs.,"Solid Wood, Metal",,,,1,,live-edge-three-leg-stool_1.webp,1
STOOL-NC-6595,Log Stool,log-stool,simple,draft,,,Furniture,Stools & Benches,Stools,"Solid tree-trunk log stool with natural bark texture. Crafted in Solid Wood, Metal. From the Pawan Stools collection.",Solid tree-trunk log stool with natural bark texture.,"Solid Wood, Metal",,,,1,,log-stool_1.webp,1
STOOL-2046,Pawan Stool (2046),pawan-stool-2046,simple,publish,,,Furniture,Stools & Benches,Stools,"Low black iron stool with ring stretcher and dark wood seat. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 46cm H.",Low black iron stool with ring stretcher and dark wood seat.,"Iron, Solid Wood",,33cm W x 33cm D x 46cm H,,1,,pawan-stool-2046_1.webp,1
STOOL-2048,Pawan Stool (2048),pawan-stool-2048,simple,publish,,,Furniture,Stools & Benches,Stools,"Recycled wood seat on a cast-style black iron crank base, height adjustable. Crafted in Iron, Solid Wood. From the Pawan Stools collection. Dimensions: 33cm W x 33cm D x 46-56cm H (height adjustable).","Recycled wood seat on a cast-style black iron crank base, height adjustable.","Iron, Solid Wood",,33cm W x 33cm D x 46-56cm H (height adjustable),,1,,pawan-stool-2048_1.webp,1
